Ride,Date/Time,Wait Time
Haunted Mansion,2022-01-23 16:10:23,35
Haunted Mansion,2022-01-23 16:15:23,35
Haunted Mansion,2022-01-23 16:20:22,35
Haunted Mansion,2022-01-23 16:25:23,35
Haunted Mansion,2022-01-23 16:30:23,35
Haunted Mansion,2022-01-23 16:35:23,35
Haunted Mansion,2022-01-23 16:40:22,35
Haunted Mansion,2022-01-23 16:45:22,35
Haunted Mansion,2022-01-23 16:50:23,35
Haunted Mansion,2022-01-23 16:55:23,35
Haunted Mansion,2022-01-23 17:00:22,35
Haunted Mansion,2022-01-23 17:05:23,35
Haunted Mansion,2022-01-23 17:10:23,35
Haunted Mansion,2022-01-23 17:15:22,35
Haunted Mansion,2022-01-23 17:20:22,35
Haunted Mansion,2022-01-23 17:25:23,35
Haunted Mansion,2022-01-23 17:30:23,35
Haunted Mansion,2022-01-23 17:35:23,35
Haunted Mansion,2022-01-23 17:40:23,35
Haunted Mansion,2022-01-23 17:45:22,35
Haunted Mansion,2022-01-23 17:50:23,35
Haunted Mansion,2022-01-23 17:55:23,35
Haunted Mansion,2022-01-23 18:00:23,35
Haunted Mansion,2022-01-23 18:05:23,15
Haunted Mansion,2022-01-23 18:10:23,15
Haunted Mansion,2022-01-23 18:15:22,30
Haunted Mansion,2022-01-23 18:20:23,30
Haunted Mansion,2022-01-23 18:25:22,30
Haunted Mansion,2022-01-23 18:30:22,30
Haunted Mansion,2022-01-23 18:35:22,30
Haunted Mansion,2022-01-23 18:40:23,30
Haunted Mansion,2022-01-23 18:45:22,30
Haunted Mansion,2022-01-23 18:50:22,30
Haunted Mansion,2022-01-23 18:55:23,30
Haunted Mansion,2022-01-23 19:00:23,30
Haunted Mansion,2022-01-23 19:05:22,30
Haunted Mansion,2022-01-23 19:10:23,30
Haunted Mansion,2022-01-23 19:15:23,30
Haunted Mansion,2022-01-23 19:20:23,30
Haunted Mansion,2022-01-23 19:25:22,30
Haunted Mansion,2022-01-23 19:30:22,30
Haunted Mansion,2022-01-23 19:35:22,30
Haunted Mansion,2022-01-23 19:40:22,30
Haunted Mansion,2022-01-23 19:45:23,30
Haunted Mansion,2022-01-23 19:50:22,30
Haunted Mansion,2022-01-23 19:55:23,30
Haunted Mansion,2022-01-23 20:00:22,30
Haunted Mansion,2022-01-23 20:05:23,30
Haunted Mansion,2022-01-23 20:10:23,30
Haunted Mansion,2022-01-23 20:15:22,13
Haunted Mansion,2022-01-23 20:20:23,13
Haunted Mansion,2022-01-23 20:25:23,13
Haunted Mansion,2022-01-23 20:30:23,13
Haunted Mansion,2022-01-23 20:35:22,13
Haunted Mansion,2022-01-23 20:40:23,13
Haunted Mansion,2022-01-23 20:45:22,13
Haunted Mansion,2022-01-23 20:50:22,13
Haunted Mansion,2022-01-23 20:55:23,13
Haunted Mansion,2022-01-23 21:00:25,13
Haunted Mansion,2022-01-23 21:05:22,13
Haunted Mansion,2022-01-23 21:10:22,13
Haunted Mansion,2022-01-23 21:15:23,13
Haunted Mansion,2022-01-23 21:20:22,13
Haunted Mansion,2022-01-23 21:25:23,13
Haunted Mansion,2022-01-23 21:30:22,13
Haunted Mansion,2022-01-23 21:35:22,13
Haunted Mansion,2022-01-23 21:40:23,13
Haunted Mansion,2022-01-23 21:45:22,13
Haunted Mansion,2022-01-23 21:50:22,13
Haunted Mansion,2022-01-23 21:55:22,13
Haunted Mansion,2022-01-23 22:00:23,13
Haunted Mansion,2022-01-23 22:05:22,13
Haunted Mansion,2022-01-23 22:10:22,13
Haunted Mansion,2022-01-23 22:15:22,13
Haunted Mansion,2022-01-23 22:20:23,13
Haunted Mansion,2022-01-23 22:45:22,13
Haunted Mansion,2022-01-23 22:50:23,13
Haunted Mansion,2022-01-23 22:55:24,13
Haunted Mansion,2022-01-23 23:00:23,13
Haunted Mansion,2022-01-24 09:55:22,5
Haunted Mansion,2022-01-24 10:00:23,5
Haunted Mansion,2022-01-24 10:05:23,5
Haunted Mansion,2022-01-24 10:10:22,5
Haunted Mansion,2022-01-24 10:15:23,5
Haunted Mansion,2022-01-24 10:20:22,5
Haunted Mansion,2022-01-24 10:25:22,5
Haunted Mansion,2022-01-24 10:30:23,5
Haunted Mansion,2022-01-24 10:35:22,5
Haunted Mansion,2022-01-24 10:40:23,5
Haunted Mansion,2022-01-24 10:45:22,15
Haunted Mansion,2022-01-24 10:50:22,25
Haunted Mansion,2022-01-24 10:55:23,25
Haunted Mansion,2022-01-24 11:00:23,25
Haunted Mansion,2022-01-24 11:05:22,25
Haunted Mansion,2022-01-24 11:10:23,25
Haunted Mansion,2022-01-24 11:15:23,25
Haunted Mansion,2022-01-24 11:20:22,25
Haunted Mansion,2022-01-24 11:25:22,25
Haunted Mansion,2022-01-24 11:30:23,45
Haunted Mansion,2022-01-24 11:35:23,45
Haunted Mansion,2022-01-24 11:40:22,45
Haunted Mansion,2022-01-24 11:45:22,45
Haunted Mansion,2022-01-24 11:50:22,45
Haunted Mansion,2022-01-24 11:55:22,45
Haunted Mansion,2022-01-24 12:00:23,45
Haunted Mansion,2022-01-24 12:05:23,45
Haunted Mansion,2022-01-24 12:10:23,45
Haunted Mansion,2022-01-24 12:15:22,45
Haunted Mansion,2022-01-24 12:20:22,45
Haunted Mansion,2022-01-24 12:25:22,45
Haunted Mansion,2022-01-24 12:30:22,45
Haunted Mansion,2022-01-24 12:35:22,45
Haunted Mansion,2022-01-24 12:40:23,45
Haunted Mansion,2022-01-24 12:45:23,45
Haunted Mansion,2022-01-24 12:50:22,45
Haunted Mansion,2022-01-24 12:55:22,45
Haunted Mansion,2022-01-24 13:00:23,45
Haunted Mansion,2022-01-24 13:05:22,45
Haunted Mansion,2022-01-24 13:10:23,45
Haunted Mansion,2022-01-24 13:15:22,45
Haunted Mansion,2022-01-24 13:20:22,45
Haunted Mansion,2022-01-24 13:25:22,5
Haunted Mansion,2022-01-24 13:30:22,25
Haunted Mansion,2022-01-24 13:35:22,30
Haunted Mansion,2022-01-24 13:40:22,30
Haunted Mansion,2022-01-24 13:45:22,30
Haunted Mansion,2022-01-24 13:50:22,30
Haunted Mansion,2022-01-24 13:55:23,40
Haunted Mansion,2022-01-24 14:00:22,40
Haunted Mansion,2022-01-24 14:05:23,30
Haunted Mansion,2022-01-24 14:10:22,30
Haunted Mansion,2022-01-24 14:15:22,30
Haunted Mansion,2022-01-24 14:20:23,40
Haunted Mansion,2022-01-24 14:25:23,40
Haunted Mansion,2022-01-24 14:30:23,40
Haunted Mansion,2022-01-24 14:35:23,35
Haunted Mansion,2022-01-24 14:40:22,35
Haunted Mansion,2022-01-24 15:30:23,30
Haunted Mansion,2022-01-24 15:35:22,30
Haunted Mansion,2022-01-24 15:40:23,30
